Station_ID,Station_Name,City,Date,PM2.5 (µg/m³),PM10 (µg/m³),NO₂ (µg/m³),SO₂ (µg/m³),CO (mg/m³),O₃ (µg/m³)
AHM01,Chandkheda,Ahmedabad,23-03-2023,31.65,59.55,7,6.63,0.75,13.34
AHM01,Chandkheda,Ahmedabad,24-03-2023,25.1,47.84,7,5.38,0.66,16.37
AHM01,Chandkheda,Ahmedabad,25-03-2023,35.67,62.23,7,5.37,0.78,21.23
AHM01,Chandkheda,Ahmedabad,26-03-2023,46.77,81.57,7,5.91,0.89,17.27
AHM01,Chandkheda,Ahmedabad,27-03-2023,58.01,102.13,6.99,8.14,0.92,21.51
AHM01,Chandkheda,Ahmedabad,28-03-2023,51.42,89.61,7,6.2,0.64,20.02
AHM01,Chandkheda,Ahmedabad,29-03-2023,61.97,111.73,7,8.53,0,20.35
AHM01,Chandkheda,Ahmedabad,30-03-2023,48.02,88.53,7.01,6.99,0,10.54
AHM01,Chandkheda,Ahmedabad,31-03-2023,36.8,64.67,6.99,5.37,0,15.1
AHM01,Chandkheda,Ahmedabad,01-04-2023,41.25,71.68,7,5.06,0,13.12
AHM01,Chandkheda,Ahmedabad,02-04-2023,53.07,91.15,7,7.16,0,14.25
AHM01,Chandkheda,Ahmedabad,03-04-2023,48.59,83.2,7,6.32,0,17.94
AHM01,Chandkheda,Ahmedabad,04-04-2023,60.04,100.12,7,6.92,0,11.18
AHM01,Chandkheda,Ahmedabad,05-04-2023,66.85,111.78,6.99,9.52,0.09,12.33
AHM01,Chandkheda,Ahmedabad,06-04-2023,54.16,92.36,7,9.88,0.07,18.73
AHM01,Chandkheda,Ahmedabad,07-04-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,08-04-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,09-04-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,10-04-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,11-04-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,12-04-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,13-04-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,14-04-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,15-04-2023,89.71,150,7.01,10.2,0.2,20.95
AHM01,Chandkheda,Ahmedabad,16-04-2023,63.24,106.37,6.99,7.64,0.16,14.13
AHM01,Chandkheda,Ahmedabad,17-04-2023,56.87,95.79,7.01,10.11,0.11,15.03
AHM01,Chandkheda,Ahmedabad,18-04-2023,59.33,99.13,6.99,10.08,0.39,11.78
AHM01,Chandkheda,Ahmedabad,19-04-2023,88.62,156.31,7,8.33,0.08,10.94
AHM01,Chandkheda,Ahmedabad,20-04-2023,50.93,85.34,7,8.2,0.06,14.31
AHM01,Chandkheda,Ahmedabad,21-04-2023,57.15,94.82,6.99,6.55,0.05,12.57
AHM01,Chandkheda,Ahmedabad,22-04-2023,57.28,97.38,7,6.78,0.05,12.14
AHM01,Chandkheda,Ahmedabad,23-04-2023,47,82.3,6.99,6.33,0,17.29
AHM01,Chandkheda,Ahmedabad,24-04-2023,46.8,82.83,6.99,9.6,0.01,22.44
AHM01,Chandkheda,Ahmedabad,25-04-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,26-04-2023,61.01,110.66,7,9.51,0.66,15.64
AHM01,Chandkheda,Ahmedabad,27-04-2023,54.82,98.29,7,5.5,0.79,13.81
AHM01,Chandkheda,Ahmedabad,28-04-2023,53.36,93.63,6.99,7.7,0.65,17.06
AHM01,Chandkheda,Ahmedabad,29-04-2023,28.45,51.11,6.98,9.23,0.2,15.56
AHM01,Chandkheda,Ahmedabad,30-04-2023,29.86,54.54,6.99,5.71,0.4,15.71
AHM01,Chandkheda,Ahmedabad,01-05-2023,28.58,52.68,7,5.78,0.4,18.05
AHM01,Chandkheda,Ahmedabad,02-05-2023,30.19,55.55,6.99,5.5,0.4,18.25
AHM01,Chandkheda,Ahmedabad,03-05-2023,40.87,73.08,6.99,5.68,0.4,22.28
AHM01,Chandkheda,Ahmedabad,04-05-2023,38.29,70.41,7,6.13,0.4,21.61
AHM01,Chandkheda,Ahmedabad,05-05-2023,46.13,83.5,7,7.98,0.4,23.96
AHM01,Chandkheda,Ahmedabad,06-05-2023,45.94,79.9,7,5.63,0.4,16.49
AHM01,Chandkheda,Ahmedabad,07-05-2023,50.81,87.14,7,5.75,0.4,13.77
AHM01,Chandkheda,Ahmedabad,08-05-2023,43.17,74.43,6.99,6.37,0.4,13.35
AHM01,Chandkheda,Ahmedabad,09-05-2023,53.57,89.64,6.99,6.74,0.4,15.27
AHM01,Chandkheda,Ahmedabad,10-05-2023,54.08,91.86,7,7.56,0.2,18.32
AHM01,Chandkheda,Ahmedabad,11-05-2023,55.4,93.64,7,8.35,0.09,18.07
AHM01,Chandkheda,Ahmedabad,12-05-2023,65.61,108.98,7.01,13.52,0.87,14.68
AHM01,Chandkheda,Ahmedabad,13-05-2023,45.32,78.79,7.02,10.38,0.63,16
AHM01,Chandkheda,Ahmedabad,14-05-2023,50.5,89.08,7,6.38,0.44,11.32
AHM01,Chandkheda,Ahmedabad,15-05-2023,43.87,76.09,6.99,4.59,0.36,7.84
AHM01,Chandkheda,Ahmedabad,16-05-2023,30.84,52.98,7,4.24,0.12,3.73
AHM01,Chandkheda,Ahmedabad,17-05-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,18-05-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,19-05-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,20-05-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,21-05-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,22-05-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,23-05-2023,45.16,78.39,6.99,5.12,0.41,17.85
AHM01,Chandkheda,Ahmedabad,24-05-2023,59.37,102.11,6.99,5.5,0.24,8.73
AHM01,Chandkheda,Ahmedabad,25-05-2023,63.74,110.9,7,5.96,0.22,8.11
AHM01,Chandkheda,Ahmedabad,26-05-2023,49.04,83.54,7,5.12,0.23,6.57
AHM01,Chandkheda,Ahmedabad,27-05-2023,32.66,59.97,7,4.43,0.35,6.44
AHM01,Chandkheda,Ahmedabad,28-05-2023,29.92,51.2,7,4.6,0.3,8.05
AHM01,Chandkheda,Ahmedabad,29-05-2023,NaN,NaN,NaN,NaN,NaN,NaN
AHM01,Chandkheda,Ahmedabad,30-05-2023,28.15,48.13,17.86,4.23,0.03,20.23
AHM01,Chandkheda,Ahmedabad,31-05-2023,63.81,107,8.57,8.81,0,14.78
AHM01,Chandkheda,Ahmedabad,01-06-2023,34.26,59.45,6.18,6.03,0,10.18
AHM01,Chandkheda,Ahmedabad,02-06-2023,29.23,50.97,5.34,5.25,0,8.43
AHM01,Chandkheda,Ahmedabad,03-06-2023,34.54,59.32,5.12,4.84,0,9.47
AHM01,Chandkheda,Ahmedabad,04-06-2023,39.97,75.59,5.19,5.27,0,5.6
AHM01,Chandkheda,Ahmedabad,05-06-2023,65.35,111.52,6.49,4.46,0.66,16.89
AHM01,Chandkheda,Ahmedabad,06-06-2023,39.2,72.89,1.08,4.85,0.7,11.18
AHM01,Chandkheda,Ahmedabad,07-06-2023,38.79,68.5,0.69,5.6,0.7,10.35
AHM01,Chandkheda,Ahmedabad,08-06-2023,36.82,62.82,0.55,5.1,0.7,9.15
AHM01,Chandkheda,Ahmedabad,09-06-2023,37.31,65.65,0.5,5.1,0.7,10.38
AHM01,Chandkheda,Ahmedabad,10-06-2023,29.85,52.93,0.42,5.27,0.7,10.69
AHM01,Chandkheda,Ahmedabad,11-06-2023,45.42,81.03,0.41,5.57,0.7,11.52
AHM01,Chandkheda,Ahmedabad,12-06-2023,47.14,82.21,0.41,7.11,0.7,11
AHM01,Chandkheda,Ahmedabad,13-06-2023,63.54,112.49,0.38,5.38,0.7,6.68
AHM01,Chandkheda,Ahmedabad,14-06-2023,35.61,62.33,0.42,4.71,0.7,6.05
AHM01,Chandkheda,Ahmedabad,15-06-2023,32.93,56.58,0.42,4.74,0.7,4.23
AHM01,Chandkheda,Ahmedabad,16-06-2023,25.63,43.69,0.5,4.46,0.7,4.61
AHM01,Chandkheda,Ahmedabad,17-06-2023,36.27,62.34,0.51,4.31,0.7,6.18
AHM01,Chandkheda,Ahmedabad,18-06-2023,40.27,70.06,0.42,4.19,0.7,6.9
AHM01,Chandkheda,Ahmedabad,19-06-2023,44.4,76.42,0.36,4.28,0.7,7.5
AHM01,Chandkheda,Ahmedabad,20-06-2023,44.72,76.69,0.35,4.25,0.7,8.4
AHM01,Chandkheda,Ahmedabad,21-06-2023,41.91,71.56,0.33,4.33,0.7,7.72
AHM01,Chandkheda,Ahmedabad,22-06-2023,40.07,67.68,0.3,4.53,0.7,7.1
AHM01,Chandkheda,Ahmedabad,23-06-2023,49.31,82.22,0.29,4.7,0.7,6.27
AHM01,Chandkheda,Ahmedabad,24-06-2023,44.76,75.3,0.33,4.89,0.7,6.05
AHM01,Chandkheda,Ahmedabad,25-06-2023,31.06,52.89,0.33,4.68,0.7,6.31
AHM01,Chandkheda,Ahmedabad,26-06-2023,24,40.93,0.4,4.66,0.7,3.73
AHM01,Chandkheda,Ahmedabad,27-06-2023,23,41.09,0.41,4.29,0.7,5.92
AHM01,Chandkheda,Ahmedabad,28-06-2023,20.57,37.24,0.39,4.27,0.7,5.19
AHM01,Chandkheda,Ahmedabad,29-06-2023,19.69,34.84,0.42,4.26,0.7,3.74
AHM01,Chandkheda,Ahmedabad,30-06-2023,10.08,19.67,0.38,4.28,0.7,7.02
AHM01,Chandkheda,Ahmedabad,01-07-2023,11.05,19.76,0.4,4.26,0.69,3.75
AHM01,Chandkheda,Ahmedabad,02-07-2023,15.97,30.9,0.35,4.27,0.7,3.51
AHM01,Chandkheda,Ahmedabad,03-07-2023,26.06,45.75,0.29,4.31,0.7,6.27
AHM01,Chandkheda,Ahmedabad,04-07-2023,25.34,44.84,0.27,4.37,0.7,5.77
